constellation,num_pairs,stars,name,ra,dec,zodiac,mags
Her,18,"['86414', '87808', '87808', '85112', '85112', '84606', '84606', '84380', '84380', '81833', '81833', '81126', '81126', '79992', '79992', '77760', '81833', '81693', '81693', '80816', '80816', '80170', '81693', '83207', '83207', '85693', '85693', '84379', '86974', '87933', '87933', '88794', '83207', '84380', '86974', '85693']",Hercules,"[17.657747, 17.93755, 17.93755, 17.394707999999998, 17.394707999999998, 17.294517000000006, 17.294517000000006, 17.250788, 17.250788, 16.714933, 16.714933, 16.568384, 16.568384, 16.329010999999998, 16.329010999999998, 15.877903, 16.714933, 16.688113, 16.688113, 16.503667999999998, 16.503667999999998, 16.365338, 16.688113, 17.004827, 17.004827, 17.512307999999994, 17.512307999999994, 17.250531, 17.774319000000006, 17.962744, 17.962744, 18.125708, 17.004827, 17.250788, 17.774319000000006, 17.512307999999994]","[46.006332, 37.250539, 37.250539, 37.145946, 37.145946, 37.291498, 37.291498, 36.809162, 36.809162, 38.922254, 38.922254, 42.437041, 42.437041, 46.313366, 46.313366, 42.451518, 38.922254, 31.602726, 31.602726, 21.489613, 21.489613, 19.15313, 31.602726, 30.926405, 30.926405, 26.110645, 26.110645, 24.839204, 27.720676, 29.24788, 29.24788, 28.762488, 30.926405, 36.809162, 27.720676, 26.110645]",False,"[3.82, 3.86, 3.86, 4.15, 4.15, 4.64, 4.64, 3.16, 3.16, 3.48, 3.48, 4.2, 4.2, 3.91, 3.91, 4.6, 3.48, 2.81, 2.81, 2.78, 2.78, 3.74, 2.81, 3.92, 3.92, 4.41, 4.41, 3.12, 3.42, 3.7, 3.7, 3.84, 3.92, 3.16, 3.42, 4.41]"
Hya,18,"['42799', '42402', '42402', '42313', '42313', '43109', '43109', '43234', '43234', '42799', '43234', '43813', '43813', '45336', '45336', '46776', '46776', '46509', '46509', '46390', '46390', '48356', '48356', '49841', '49841', '51069', '51069', '52943', '52943', '56343', '56343', '57936', '57936', '64166', '64166', '64962']",Hydra,"[8.720410000000001, 8.645955, 8.645955, 8.627602, 8.627602, 8.779587, 8.779587, 8.807214, 8.807214, 8.720410000000001, 8.807214, 8.92323, 8.92323, 9.239405, 9.239405, 9.533036, 9.533036, 9.485805, 9.485805, 9.45979, 9.45979, 9.85797, 9.85797, 10.176467, 10.176467, 10.434842, 10.434842, 10.827079, 10.827079, 11.550038, 11.550038, 11.881813, 11.881813, 13.150909, 13.150909, 13.315359]","[3.3986620000000003, 3.341435, 3.341435, 5.703782, 5.703782, 6.418809, 6.418809, 5.837812, 5.837812, 3.3986620000000003, 5.837812, 5.945563, 5.945563, 2.31428, 2.31428, -1.184664, -1.184664, -2.768964, -2.768964, -8.658603, -8.658603, -14.846603, -14.846603, -12.354083, -12.354083, -16.836289999999998, -16.836289999999998, -16.193648, -16.193648, -31.857625, -31.857625, -33.908124, -33.908124, -23.11807, -23.11807, -23.171512]",False,"[4.3, 4.45, 4.45, 4.14, 4.14, 3.38, 3.38, 4.35, 4.35, 4.3, 4.35, 3.11, 3.11, 3.89, 3.89, 4.54, 4.54, 4.59, 4.59, 1.99, 1.99, 4.11, 4.11, 3.61, 3.61, 3.83, 3.83, 3.11, 3.11, 3.54, 3.54, 4.29, 4.29, 4.94, 4.94, 2.99]"
Mon,6,"['29651', '30867', '30867', '34769', '34769', '30419', '30419', '29151', '34769', '39863', '39863', '37447']",Monoceros,"[6.247592, 6.480297, 6.480297, 7.197739, 7.197739, 6.396135, 6.396135, 6.149418, 7.197739, 8.143236, 8.143236, 7.687454]","[-6.274776, -7.033061999999998, -7.033061999999998, -0.492764, -0.492764, 4.592865, 4.592865, 2.499692, -0.492764, -2.9837860000000003, -2.9837860000000003, -9.551131]",False,"[3.99, 3.76, 3.76, 4.15, 4.15, 4.39, 4.39, 5.7, 4.15, 4.36, 4.36, 3.94]"
Lep,14,"['28910', '28103', '28103', '27288', '27288', '25985', '25985', '24305', '25985', '27654', '27654', '27072', '27072', '25606', '25606', '23685', '25985', '25606', '24305', '24845', '24305', '24327', '23685', '24305', '24327', '24244', '24845', '24873']",Lepus,"[6.10259, 5.940082, 5.940082, 5.782595, 5.782595, 5.545504, 5.545504, 5.215528, 5.545504, 5.855357, 5.855357, 5.741057, 5.741057, 5.470756, 5.470756, 5.091018, 5.545504, 5.470756, 5.215528, 5.326257, 5.215528, 5.220522, 5.091018, 5.215528, 5.220522, 5.204973000000002, 5.326257, 5.333062]","[-14.935254, -14.1677, -14.1677, -14.82195, -14.82195, -17.822289, -17.822289, -16.205468, -17.822289, -20.879089, -20.879089, -22.448382, -22.448382, -20.759441, -20.759441, -22.371032, -17.822289, -20.759441, -16.205468, -13.176788, -16.205468, -12.941291, -22.371032, -16.205468, -12.941291, -11.869219, -13.176788, -12.315585]",False,"[4.67, 3.71, 3.71, 3.55, 3.55, 2.58, 2.58, 3.29, 2.58, 3.76, 3.76, 3.59, 3.59, 2.81, 2.81, 3.19, 2.58, 2.81, 3.29, 4.29, 3.29, 4.36, 3.19, 3.29, 4.36, 4.45, 4.29, 5.29]"
Leo,10,"['57632', '54879', '54879', '49669', '49669', '49583', '49583', '50583', '50583', '54872', '54872', '57632', '50583', '50335', '50335', '48455', '48455', '47908', '54872', '54879']",Leo,"[11.817663, 11.237335, 11.237335, 10.139532, 10.139532, 10.122209, 10.122209, 10.332873, 10.332873, 11.235138, 11.235138, 11.817663, 10.332873, 10.278171, 10.278171, 9.879398, 9.879398, 9.764188, 11.235138, 11.237335]","[14.57206, 15.429570000000002, 15.429570000000002, 11.967207, 11.967207, 16.762664, 16.762664, 19.841489000000006, 19.841489000000006, 20.523717, 20.523717, 14.57206, 19.841489000000006, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255, 20.523717, 15.429570000000002]",True,"[2.14, 3.33, 3.33, 1.36, 1.36, 3.48, 3.48, 2.01, 2.01, 2.56, 2.56, 2.14, 2.01, 3.43, 3.43, 3.88, 3.88, 2.97, 2.56, 3.33]"
Lup,13,"['77634', '78970', '78970', '78384', '78384', '77634', '78384', '76297', '76297', '75141', '75141', '75177', '75141', '73273', '76297', '76552', '76552', '74395', '74395', '71860', '74395', '71536', '71860', '70576', '71860', '73273']",Lupus,"[15.849316, 16.121168, 16.121168, 16.002036, 16.002036, 15.849316, 16.002036, 15.585681, 15.585681, 15.356201, 15.356201, 15.36344, 15.356201, 14.975537, 15.585681, 15.634232, 15.634232, 15.20476, 15.20476, 14.698823, 15.20476, 14.631454000000002, 14.698823, 14.436336, 14.698823, 14.975537]","[-33.627165000000005, -36.755676, -36.755676, -38.396706, -38.396706, -33.627165000000005, -38.396706, -41.166757, -41.166757, -40.647518, -40.647518, -36.261376, -40.647518, -43.13396, -41.166757, -42.567348, -42.567348, -52.099247, -52.099247, -47.3882, -52.099247, -49.425828, -47.3882, -45.379276, -47.3882, -43.13396]",False,"[3.97, 5.72, 5.72, 3.42, 3.42, 3.97, 3.42, 2.8, 2.8, 3.22, 3.22, 3.57, 3.22, 2.68, 2.8, 4.34, 4.34, 3.41, 3.41, 2.3, 3.41, 4.05, 2.3, 4.33, 2.3, 2.68]"
Lyn,7,"['45860', '45688', '45688', '44700', '44700', '44248', '44248', '41075', '41075', '36145', '36145', '33449', '33449', '30060']",Lynx,"[9.350925, 9.314069, 9.314069, 9.108825, 9.108825, 9.010685, 9.010685, 8.380588000000001, 8.380588000000001, 7.445237, 7.445237, 6.954611999999999, 6.954611999999999, 6.327052]","[34.392562, 36.802597, 36.802597, 38.452215, 38.452215, 41.782911, 41.782911, 43.188131, 43.188131, 49.211527, 49.211527, 58.422759, 58.422759, 59.010964]",False,"[3.14, 3.82, 3.82, 4.56, 4.56, 3.96, 3.96, 4.25, 4.25, 4.61, 4.61, 4.35, 4.35, 4.44]"
Lyr,5,"['91262', '91971', '91971', '92420', '92420', '93194', '93194', '92791', '92791', '91971']",Lyra,"[18.61564, 18.746209, 18.746209, 18.834665, 18.834665, 18.982395, 18.982395, 18.908412, 18.908412, 18.746209]","[38.783692, 37.60511500000001, 37.60511500000001, 33.362667, 33.362667, 32.689557, 32.689557, 36.898613, 36.898613, 37.60511500000001]",False,"[0.03, 4.34, 4.34, 3.52, 3.52, 3.25, 3.25, 4.22, 4.22, 4.34]"
Ant,1,"['51172', '48926']",Antlia,"[10.45253, 9.981191]","[-31.067779, -35.89097299999999]",False,"[4.28, 5.23]"
Oph,7,"['86032', '86742', '84012', '86742', '86032', '83000', '83000', '79882', '79882', '81377', '81377', '84012', '84012', '85755']",Ophiuchus,"[17.582241, 17.724543, 17.172968, 17.724543, 17.582241, 16.961139000000006, 16.961139000000006, 16.305358, 16.305358, 16.619316, 16.619316, 17.172968, 17.172968, 17.523598]","[12.560035, 4.567303, -15.72491, 4.567303, 12.560035, 9.375033, 9.375033, -4.692511, -4.692511, -10.56709, -10.56709, -15.72491, -15.72491, -23.962643]",False,"[2.08, 2.76, 2.43, 2.76, 2.08, 3.19, 3.19, 3.23, 3.23, 2.54, 2.54, 2.43, 2.43, 4.78]"
Ori,21,"['26727', '26311', '26311', '25930', '28691', '29426', '29426', '29038', '29038', '27913', '29426', '28614', '28614', '27989', '27989', '26727', '26727', '27366', '27366', '24436', '24436', '25930', '25930', '25336', '25336', '26207', '26207', '27989', '25336', '22449', '22449', '22549', '22549', '22730', '22730', '23123', '22449', '22509', '22509', '22845', '29038', '28614']",Orion,"[5.679313, 5.603559, 5.603559, 5.533445, 6.057601999999998, 6.198999, 6.198999, 6.126201, 6.126201, 5.906386, 6.198999, 6.039722, 6.039722, 5.919529, 5.919529, 5.679313, 5.679313, 5.795941, 5.795941, 5.242298, 5.242298, 5.533445, 5.533445, 5.418851, 5.418851, 5.5856330000000005, 5.5856330000000005, 5.919529, 5.418851, 4.830669, 4.830669, 4.853434, 4.853434, 4.889659, 4.889659, 4.975806, 4.830669, 4.843534, 4.843534, 4.914924, 6.126201, 6.039722]","[-1.942572, -1.20192, -1.20192, -0.299092, 19.690561, 14.208765, 14.208765, 14.768472, 14.768472, 20.276174, 14.208765, 9.647276, 9.647276, 7.407063000000001, 7.407063000000001, -1.942572, -1.942572, -9.669605, -9.669605, -8.20164, -8.20164, -0.299092, -0.299092, 6.349702, 6.349702, 9.934158, 9.934158, 7.407063000000001, 6.349702, 6.961276, 6.961276, 5.605104, 5.605104, 2.508225, 2.508225, 1.714016, 6.961276, 8.900176, 8.900176, 10.150833, 14.768472, 9.647276]",False,"[1.74, 1.69, 1.69, 2.25, 5.14, 4.45, 4.45, 4.42, 4.42, 4.39, 4.45, 4.12, 4.12, 0.45, 0.45, 1.74, 1.74, 2.07, 2.07, 0.18, 0.18, 2.25, 2.25, 1.64, 1.64, 3.39, 3.39, 0.45, 1.64, 3.19, 3.19, 3.68, 3.68, 5.33, 5.33, 4.47, 3.19, 4.35, 4.35, 4.64, 4.42, 4.12]"
Peg,14,"['1067', '113963', '113881', '112158', '112158', '109352', '113881', '112748', '112748', '112440', '112440', '109176', '109176', '107354', '113963', '112447', '112447', '112029', '112029', '109427', '109427', '107315', '677', '113881', '677', '1067', '113881', '113963']",Pegasus,"[0.220598, 23.079348, 23.062901, 22.716704, 22.716704, 22.153789, 23.062901, 22.833385, 22.833385, 22.775521, 22.775521, 22.116847, 22.116847, 21.744092, 23.079348, 22.778216, 22.778216, 22.691033, 22.691033, 22.169996, 22.169996, 21.736433, 0.139791, 23.062901, 0.139791, 0.220598, 23.062901, 23.079348]","[15.183596, 15.205264, 28.082789, 30.221245, 30.221245, 33.172337, 28.082789, 24.601579, 24.601579, 23.565654, 23.565654, 25.345112, 25.345112, 25.645036, 15.205264, 12.172888, 12.172888, 10.831364, 10.831364, 6.197865, 6.197865, 9.875011, 29.090432, 28.082789, 29.090432, 15.183596, 28.082789, 15.205264]",False,"[2.83, 2.49, 2.44, 2.93, 2.93, 5.58, 2.44, 3.51, 3.51, 3.97, 3.97, 3.77, 3.77, 4.14, 2.49, 4.2, 4.2, 3.41, 3.41, 3.52, 3.52, 2.38, 2.07, 2.44, 2.07, 2.83, 2.44, 2.49]"
Per,10,"['17448', '18246', '18246', '18614', '18614', '18532', '18532', '17358', '17358', '15863', '15863', '14328', '14328', '13268', '15863', '14576', '14576', '14354', '14354', '13254']",Perseus,"[3.738648, 3.9022, 3.9022, 3.98275, 3.98275, 3.96423, 3.96423, 3.715416, 3.715416, 3.405378, 3.405378, 3.079942, 3.079942, 2.844945, 3.405378, 3.136148, 3.136148, 3.0862700000000003, 3.0862700000000003, 2.843063]","[32.288248, 31.883635, 31.883635, 35.791033, 35.791033, 40.010215, 40.010215, 47.787551, 47.787551, 49.86118, 49.86118, 53.50644000000001, 53.50644000000001, 55.895496, 49.86118, 40.955648, 40.955648, 38.840274, 38.840274, 38.318644]",False,"[3.84, 2.84, 2.84, 3.98, 3.98, 2.9, 2.9, 3.01, 3.01, 1.79, 1.79, 2.91, 2.91, 3.77, 1.79, 2.09, 2.09, 3.32, 3.32, 4.22]"
CMi,1,"['37279', '36188']",Canis Minor,"[7.655033, 7.452512]","[5.224993, 8.289315]",False,"[0.4, 2.89]"
LMi,4,"['53229', '51233', '51233', '49593', '49593', '46952', '49593', '53229']",Leo Minor,"[10.888526, 10.464727, 10.464727, 10.123821, 10.123821, 9.570384, 10.123821, 10.888526]","[34.214871, 36.707212, 36.707212, 35.244693, 35.244693, 36.397558, 35.244693, 34.214871]",False,"[3.79, 4.2, 4.2, 4.49, 4.49, 4.54, 4.49, 3.79]"
UMi,7,"['11767', '85822', '85822', '82080', '82080', '77055', '77055', '79822', '79822', '75097', '75097', '72607', '72607', '77055']",Ursa Minor,"[2.52975, 17.536918, 17.536918, 16.766159, 16.766159, 15.734298999999998, 15.734298999999998, 16.291791, 16.291791, 15.345482999999998, 15.345482999999998, 14.845104999999998, 14.845104999999998, 15.734298999999998]","[89.26410899999998, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493, 77.794493, 75.75533, 75.75533, 71.834016, 71.834016, 74.155505, 74.155505, 77.794493]",False,"[1.97, 4.35, 4.35, 4.21, 4.21, 4.29, 4.29, 4.95, 4.95, 3.0, 3.0, 2.07, 2.07, 4.29]"
Psc,19,"['4889', '5742', '4889', '6193', '6193', '5742', '5742', '7097', '7097', '8198', '8198', '9487', '9487', '8833', '8833', '7884', '7884', '7007', '7007', '4906', '4906', '3760', '3760', '1645', '1645', '118268', '118268', '116771', '116771', '116928', '116928', '115738', '115738', '114971', '114971', '115830', '115830', '116771']",Pisces,"[1.046971, 1.229152, 1.046971, 1.324443, 1.324443, 1.229152, 1.229152, 1.524725, 1.524725, 1.756564, 1.756564, 2.034117, 2.034117, 1.892597, 1.892597, 1.6905259999999998, 1.6905259999999998, 1.503087, 1.503087, 1.049058, 1.049058, 0.804836, 0.804836, 0.343295, 0.343295, 23.988525, 23.988525, 23.665844, 23.665844, 23.700779, 23.700779, 23.448876, 23.448876, 23.286094, 23.286094, 23.466138, 23.466138, 23.665844]","[31.804263, 24.583713, 31.804263, 27.264059000000003, 27.264059000000003, 24.583713, 24.583713, 15.345823, 15.345823, 9.157736, 9.157736, 2.763759, 2.763759, 3.187536, 3.187536, 5.487613, 5.487613, 6.14382, 6.14382, 7.890135000000001, 7.890135000000001, 7.299927999999999, 7.299927999999999, 8.190271000000001, 8.190271000000001, 6.863321000000001, 6.863321000000001, 5.6262919999999985, 5.6262919999999985, 1.780041, 1.780041, 1.255608, 1.255608, 3.282289, 3.282289, 6.378992, 6.378992, 5.6262919999999985]",True,"[5.5, 4.67, 5.5, 4.74, 4.74, 4.67, 4.67, 3.62, 3.62, 4.26, 4.26, 3.82, 3.82, 4.61, 4.61, 4.45, 4.45, 4.84, 4.84, 4.27, 4.27, 5.92, 5.92, 5.38, 5.38, 4.03, 4.03, 4.13, 4.13, 4.49, 4.49, 4.95, 4.95, 3.7, 3.7, 4.27, 4.27, 4.13]"
PsA,6,"['113368', '111954', '111954', '108661', '108661', '107608', '107608', '109422', '109422', '111188', '111188', '113246']",Piscis Austrinus,"[22.960838, 22.677594, 22.677594, 22.013951, 22.013951, 21.795598, 21.795598, 22.169093, 22.169093, 22.52509, 22.52509, 22.932472]","[-29.622236, -27.043617, -27.043617, -28.453736, -28.453736, -30.898304, -30.898304, -32.548407, -32.548407, -32.346073, -32.346073, -32.539628]",False,"[1.17, 4.18, 4.18, 5.43, 5.43, 5.02, 5.02, 4.94, 4.94, 4.29, 4.29, 4.2]"
Pup,7,"['39757', '38146', '38146', '35264', '35264', '31685', '31685', '32768', '32768', '36377', '36377', '39429', '39429', '39757']",Puppis,"[8.125736999999999, 7.817132000000001, 7.817132000000001, 7.285711, 7.285711, 6.629353, 6.629353, 6.8322660000000015, 6.8322660000000015, 7.4871789999999985, 7.4871789999999985, 8.059737, 8.059737, 8.125736999999999]","[-24.304324, -24.912208, -24.912208, -37.09747, -37.09747, -43.195934, -43.195934, -50.61456, -50.61456, -43.301432, -43.301432, -40.003148, -40.003148, -24.304324]",False,"[2.83, 5.32, 5.32, 2.71, 2.71, 3.17, 3.17, 2.94, 2.94, 3.25, 3.25, 2.21, 2.21, 2.83]"
Sgr,24,"['89931', '90496', '89642', '90185', '90185', '88635', '88635', '87072', '88635', '89931', '89931', '90185', '90185', '93506', '93506', '92041', '92041', '89931', '92041', '90496', '90496', '89341', '93506', '93864', '93864', '92855', '92855', '92041', '92855', '93085', '93085', '93683', '93683', '94820', '94820', '95168', '93864', '96406', '96406', '98688', '98688', '98412', '98412', '98032', '98032', '95347', '98032', '95294']",Sagittarius,"[18.3499, 18.466179, 18.293793, 18.402868, 18.402868, 18.096803, 18.096803, 17.792673999999995, 18.096803, 18.3499, 18.3499, 18.402868, 18.402868, 19.043532, 19.043532, 18.76094, 18.76094, 18.3499, 18.76094, 18.466179, 18.466179, 18.229392, 19.043532, 19.11567, 19.11567, 18.92109, 18.92109, 18.76094, 18.92109, 18.962167, 18.962167, 19.07805, 19.07805, 19.293911, 19.293911, 19.361211, 19.11567, 19.600459, 19.600459, 20.044299, 20.044299, 19.995605, 19.995605, 19.921026, 19.921026, 19.398103, 19.921026, 19.386976]","[-29.828103, -25.4217, -36.761686, -34.384615999999994, -34.384615999999994, -30.424091, -30.424091, -27.830788, -30.424091, -29.828103, -29.828103, -34.384615999999994, -34.384615999999994, -29.880105, -29.880105, -26.990778, -26.990778, -29.828103, -26.990778, -25.4217, -25.4217, -21.058834, -29.880105, -27.670423, -27.670423, -26.296721999999995, -26.296721999999995, -26.990778, -26.296721999999995, -21.106654, -21.106654, -21.741496, -21.741496, -18.952908, -18.952908, -17.847197, -27.670423, -24.719081, -24.719081, -27.709845, -27.709845, -35.276305, -35.276305, -41.868288, -41.868288, -40.61594, -41.868288, -44.799778]",True,"[2.72, 2.82, 3.1, 1.79, 1.79, 2.98, 2.98, 4.53, 2.98, 2.72, 2.72, 1.79, 1.79, 2.6, 2.6, 3.17, 3.17, 2.72, 3.17, 2.82, 2.82, 3.84, 2.6, 3.32, 3.32, 2.05, 2.05, 3.17, 2.05, 3.52, 3.52, 3.76, 3.76, 4.88, 4.88, 3.92, 3.32, 5.64, 5.64, 4.43, 4.43, 4.37, 4.37, 4.12, 4.12, 3.96, 4.12, 4.27]"
Sco,12,"['85927', '86670', '86670', '87073', '87073', '86228', '86228', '84143', '84143', '82671', '82671', '82514', '82514', '82396', '82396', '81266', '81266', '80763', '80763', '78401', '80763', '78265', '80763', '78820']",Scorpius,"[17.560145000000002, 17.708132, 17.708132, 17.793078, 17.793078, 17.621979999999994, 17.621979999999994, 17.202551999999994, 17.202551999999994, 16.899924, 16.899924, 16.864508999999998, 16.864508999999998, 16.83608, 16.83608, 16.598043, 16.598043, 16.490128, 16.490128, 16.005557, 16.490128, 15.980865, 16.490128, 16.09062]","[-37.103821, -39.029983, -39.029983, -40.126997, -40.126997, -42.997824, -42.997824, -43.239189, -43.239189, -42.362025, -42.362025, -38.04738, -38.04738, -34.293232, -34.293232, -28.216016, -28.216016, -26.432002, -26.432002, -22.62171, -26.432002, -26.114105, -26.432002, -19.805453]",True,"[1.62, 2.39, 2.39, 2.99, 2.99, 1.86, 1.86, 3.32, 3.32, 4.7, 4.7, 3.0, 3.0, 2.29, 2.29, 2.82, 2.82, 1.06, 1.06, 2.29, 1.06, 2.89, 1.06, 2.56]"
Ser,11,"['77516', '77622', '77622', '77070', '77070', '76276', '76276', '77233', '77233', '78072', '78072', '77450', '77450', '77233', '92946', '89962', '89962', '86565', '86565', '86263', '86263', '84880']",Serpens,"[15.827001999999998, 15.846935, 15.846935, 15.737798000000002, 15.737798000000002, 15.580041, 15.580041, 15.769793, 15.769793, 15.940882, 15.940882, 15.812327, 15.812327, 15.769793, 18.936995, 18.355167, 18.355167, 17.690243, 17.690243, 17.626445, 17.626445, 17.347128]","[-3.4302080000000004, 4.47773, 4.47773, 6.425627, 6.425627, 10.538867, 10.538867, 15.421826, 15.421826, 15.661617, 15.661617, 18.141564, 18.141564, 15.421826, 4.203595, -2.898825, -2.898825, -12.875307, -12.875307, -15.398557, -15.398557, -12.846875]",False,"[3.54, 3.71, 3.71, 2.63, 2.63, 3.8, 3.8, 3.65, 3.65, 3.85, 3.85, 4.09, 4.09, 3.65, 4.62, 3.23, 3.23, 4.24, 4.24, 3.54, 3.54, 4.32]"
Tau,12,"['25428', '21881', '21881', '20889', '21421', '26451', '20205', '20455', '20205', '18724', '18724', '15900', '21421', '20889', '21421', '20894', '20894', '20205', '20889', '20648', '20648', '20455', '20455', '17847']",Taurus,"[5.438198000000001, 4.704084, 4.704084, 4.476943, 4.598677, 5.627413, 4.329889, 4.382247, 4.329889, 4.0113379999999985, 4.0113379999999985, 3.413554, 4.598677, 4.476943, 4.598677, 4.477705, 4.477705, 4.329889, 4.476943, 4.424828, 4.424828, 4.382247, 4.382247, 3.819373]","[28.60745, 22.956926, 22.956926, 19.180431, 16.509301, 21.142549, 15.627642000000002, 17.542514, 15.627642000000002, 12.490347, 12.490347, 9.02887, 16.509301, 19.180431, 16.509301, 15.870883, 15.870883, 15.627642000000002, 19.180431, 17.92791, 17.92791, 17.542514, 17.542514, 24.053415]",True,"[1.65, 4.27, 4.27, 3.53, 0.87, 2.97, 3.65, 3.77, 3.65, 3.41, 3.41, 3.61, 0.87, 3.53, 0.87, 3.4, 3.4, 3.65, 3.53, 4.3, 4.3, 3.77, 3.77, 3.62]"
Tri,3,"['10670', '10064', '10064', '8796', '8796', '10670']",Triangulum,"[2.288573, 2.1590580000000004, 2.1590580000000004, 1.884696, 1.884696, 2.288573]","[33.847194, 34.987297, 34.987297, 29.578829, 29.578829, 33.847194]",False,"[4.03, 3.0, 3.0, 3.42, 3.42, 4.03]"
Aqr,14,"['106278', '109074', '109074', '110395', '110395', '110960', '110960', '111497', '111497', '112961', '112961', '114855', '114855', '115438', '109074', '110003', '110003', '109139', '110003', '111123', '111123', '112716', '112716', '113136', '113136', '114341', '102618', '106278']",Aquarius,"[21.525982, 22.096399, 22.096399, 22.360938, 22.360938, 22.480531, 22.480531, 22.589272, 22.589272, 22.87691, 22.87691, 23.264859, 23.264859, 23.382842, 22.096399, 22.280565, 22.280565, 22.107286, 22.280565, 22.510782, 22.510782, 22.826528, 22.826528, 22.910837, 22.910837, 23.157443, 20.794598, 21.525982]","[-5.571172, -0.319851, -0.319851, -1.387331, -1.387331, -0.019972, -0.019972, -0.117498, -0.117498, -7.579599000000001, -7.579599000000001, -9.087737, -9.087737, -20.10058, -0.319851, -7.783289999999999, -7.783289999999999, -13.869679, -7.783289999999999, -10.67795, -10.67795, -13.592632, -13.592632, -15.82082, -15.82082, -21.17241, -9.495776, -5.571172]",True,"[2.9, 2.95, 2.95, 3.86, 3.86, 3.65, 3.65, 4.04, 4.04, 3.73, 3.73, 4.24, 4.24, 3.96, 2.95, 4.17, 4.17, 4.29, 4.17, 4.82, 4.82, 4.05, 4.05, 3.27, 3.27, 3.68, 3.78, 2.9]"
Vir,12,"['57380', '60030', '60030', '61941', '61941', '65474', '65474', '69427', '69427', '69701', '69701', '71957', '65474', '66249', '66249', '68520', '68520', '72220', '66249', '63090', '63090', '63608', '63090', '61941']",Virgo,"[11.764322, 12.311199, 12.311199, 12.694345, 12.694345, 13.419883, 13.419883, 14.214929, 14.214929, 14.266908, 14.266908, 14.717673, 13.419883, 13.578220000000002, 13.578220000000002, 14.027443, 14.027443, 14.770812, 13.578220000000002, 12.926725, 12.926725, 13.036278, 12.926725, 12.694345]","[6.529376, -0.787184, -0.787184, -1.449375, -1.449375, -11.161322, -11.161322, -10.273702, -10.273702, -6.000547, -6.000547, -5.658207, -11.161322, -0.59582, -0.59582, 1.544532, 1.544532, 1.892885, -0.59582, 3.39747, 3.39747, 10.95915, 3.39747, -1.449375]",True,"[4.04, 5.9, 5.9, 2.74, 2.74, 0.98, 0.98, 4.18, 4.18, 4.07, 4.07, 3.87, 0.98, 3.38, 3.38, 4.23, 4.23, 3.73, 3.38, 3.39, 3.39, 2.85, 3.39, 2.74]"
Vel,10,"['39953', '42536', '42536', '42913', '42913', '45941', '45941', '48774', '48774', '52727', '52727', '51986', '51986', '50191', '50191', '46651', '46651', '44816', '44816', '39953']",Vela,"[8.158876, 8.671553999999999, 8.671553999999999, 8.745059, 8.745059, 9.368562, 9.368562, 9.947708, 9.947708, 10.779488, 10.779488, 10.621717, 10.621717, 10.245607, 10.245607, 9.511674, 9.511674, 9.133268, 9.133268, 8.158876]","[-47.336588, -52.921887, -52.921887, -54.70882099999999, -54.70882099999999, -55.010668, -55.010668, -54.56779, -54.56779, -49.420255, -49.420255, -48.22562, -48.22562, -42.121942, -42.121942, -40.466769, -40.466769, -43.432589, -43.432589, -47.336588]",False,"[1.75, 3.6, 3.6, 1.93, 1.93, 2.47, 2.47, 3.52, 3.52, 2.69, 2.69, 3.84, 3.84, 3.85, 3.85, 3.6, 3.6, 2.23, 2.23, 1.75]"
